,时间,公司名,轮次,金额,投资机构
0,2018/5/16,币市,战略投资,未透露,大都会创投
1,2018/5/16,速职,Pre-A轮,数百万人民币,未透露
2,2018/5/16,兔子商城,A轮,数千万人民币,未透露
3,2018/5/16,纷享出海,种子轮,数百万人民币,未透露
4,2018/5/16,小步网络,B轮,未透露,普华资本
5,2018/5/16,欧普曼迪,B轮,数千万人民币,西域投资-清控银杏创投
6,2018/5/16,中科闻歌,A轮,数亿人民币,中科创星
7,2018/5/16,CODING,B+轮,数千万人民币,腾讯云
8,2018/5/16,老虎山黑糖专卖,Pre-A轮,数千万人民币,未透露
9,2018/5/16,启明医疗,战略投资,未透露,未透露
10,2018/5/16,ChainPlus,天使轮,1200万人民币,极豆资本
11,2018/5/16,寓乐湾,C轮,未透露,未透露
12,2018/5/16,车叫兽,A+轮,未透露,未透露
13,2018/5/16,星图智控,C轮,未透露,未透露
14,2018/5/16,贝拉比,Pre-A轮,数千万人民币,红秀资本
15,2018/5/16,海链租房,Pre-A轮,数千万人民币,未透露
16,2018/5/16,海之猫,Pre-A轮,1000万人民币,君上资本-胖猫创投(找钢网)
17,2018/5/16,Philm黑咔相机,A+轮,数千万美元,启明创投-GGV纪源资本
18,2018/5/15,氦舶科技,天使轮,1000万人民币,清控科创控股-瑞和创投
19,2018/5/15,Myshare,天使轮,数百万人民币,信天创投-节点资本
20,2018/5/16,币市,战略投资,未透露,大都会创投
21,2018/5/16,速职,Pre-A轮,数百万人民币,未透露
22,2018/5/16,兔子商城,A轮,数千万人民币,未透露
23,2018/5/16,纷享出海,种子轮,数百万人民币,未透露
24,2018/5/16,小步网络,B轮,未透露,普华资本
25,2018/5/16,欧普曼迪,B轮,数千万人民币,西域投资-清控银杏创投
26,2018/5/16,中科闻歌,A轮,数亿人民币,中科创星
27,2018/5/16,CODING,B+轮,数千万人民币,腾讯云
28,2018/5/16,老虎山黑糖专卖,Pre-A轮,数千万人民币,未透露
29,2018/5/16,启明医疗,战略投资,未透露,未透露
30,2018/5/16,ChainPlus,天使轮,1200万人民币,极豆资本
31,2018/5/16,寓乐湾,C轮,未透露,未透露
32,2018/5/16,车叫兽,A+轮,未透露,未透露
33,2018/5/16,星图智控,C轮,未透露,未透露
34,2018/5/16,贝拉比,Pre-A轮,数千万人民币,红秀资本
35,2018/5/16,海链租房,Pre-A轮,数千万人民币,未透露
36,2018/5/16,海之猫,Pre-A轮,1000万人民币,君上资本-胖猫创投(找钢网)
37,2018/5/16,Philm黑咔相机,A+轮,数千万美元,启明创投-GGV纪源资本
38,2018/5/15,氦舶科技,天使轮,1000万人民币,清控科创控股-瑞和创投
39,2018/5/15,Myshare,天使轮,数百万人民币,信天创投-节点资本
40,2018/5/15,易商红木,D轮,3.06亿美元,京东
41,2018/5/15,芝麻街英语,战略投资,2.63亿人民币,威创股份
42,2018/5/15,三角兽,B轮,1.1亿人民币,赛富基金-富士康-火炬创投-中民投
43,2018/5/15,cyberinsight,A轮,未透露,IDG资本
44,2018/5/15,EasyStack,C+轮,3亿人民币,未透露
45,2018/5/15,爱特康医疗,B轮,数千万人民币,博行资本
46,2018/5/15,Roadstar.ai,A轮,1.28亿美元,深创投-云启资本-元璟资本-双湖资本-招银国际
47,2018/5/15,求渔学院,Pre-A轮,未透露,明师教育-智来时代
48,2018/5/15,赫美集团,战略投资,未透露,韬蕴资本
49,2018/5/15,小鱼在家,C+轮,8000万美元,百度公司
50,2018/5/15,戏精大侦探,天使轮,数百万人民币,经纬中国
51,2018/5/14,港盛科技GSOMS,天使轮,数百万人民币,信天创投
52,2018/5/14,酷哇机器人,B轮,未透露,软银中国-盈峰资本-中民投-创世伙伴资本
53,2018/5/14,龚记永元,天使轮,数百万人民币,钟玮玮
54,2018/5/14,观界创宇,A轮,数千万人民币,苏州清研资本
55,2018/5/14,求臻医学,战略投资,5000万人民币,扬子投资
56,2018/5/14,蜂窝安递,种子轮,数百万人民币,顶商投资
57,2018/5/14,凯英科技,新三板定增,6007万人民币,未透露
58,2018/5/14,志诚教育,新三板定增,2035万人民币,未透露
59,2018/5/14,艾漫科技,新三板定增,3979万人民币,未透露
60,2018/5/14,惠下单,战略投资,未透露,腾讯
61,2018/5/14,魔盒CITYBOX,B+轮,数亿人民币,未透露
62,2018/5/14,信数金服,Pre-A轮,数千万人民币,未透露
63,2018/5/14,成长保,B+轮,1.5亿人民币,昆仑万维
64,2018/5/13,澎峰科技,B轮,未透露,丰厚资本-BWVC泽厚资本
65,2018/5/12,起向教育,天使轮,数百万人民币,世纪长河集团
66,2018/5/12,视野机器人,A轮,900万美元,线性资本-海阔天空创投
67,2018/5/12,NOME家居,A+轮,1.8亿人民币,红杉资本中国-今日资本
68,2018/5/12,虾比特,天使轮,未透露,未透露
69,2018/5/11,雄峰股份,新三板定增,559万人民币,未透露
70,2018/5/11,艾克特,新三板定增,290万人民币,未透露
71,2018/5/11,虎牙直播,IPO上市,1.8亿美元,未透露
72,2018/5/11,威胁猎人,Pre-A轮,2500万人民币,泰岳梧桐资本
73,2018/5/11,换车网,A轮,数亿人民币,中骏资本
74,2018/5/11,卟一样的大学,天使轮,未透露,未透露
75,2018/5/11,衣本电商,Pre-A轮,数百万人民币,未透露
76,2018/5/11,我行我宿,A轮,1.5亿人民币,未透露
77,2018/5/11,优杯,天使轮,数百万人民币,伯乐遇马天使投资
78,2018/5/11,中装速配,天使轮,800万人民币,东方富海
79,2018/5/11,果小小,种子轮,数百万人民币,盛港投资
80,2018/5/11,Odaily星球日报,天使轮,3000万人民币,创大资本-星合资本-七熹投资-八维资本
81,2018/5/11,京都龙泰,B轮,4000万人民币,未透露
82,2018/5/11,17度,种子轮,数百万人民币,未透露
83,2018/5/11,Wake唤醒之光,A+轮,数千万人民币,三七互娱
84,2018/5/11,云知声,C轮,1亿美元,奇虎360-汉富控股-前海梧桐并购基金-中电健康基金
85,2018/5/11,美味不用等,D轮,4亿人民币,阿里巴巴-携程
86,2018/5/10,光博士,新三板定增,1200万人民币,未透露
87,2018/5/10,诚德股份,新三板定增,4828万人民币,未透露
88,2018/5/10,航宇新材,新三板定增,1.21亿人民币,未透露
89,2018/5/10,长江绿海,新三板定增,782万人民币,未透露
90,2018/5/10,碰趣,种子轮,未透露,未透露
91,2018/5/10,喜马拉雅,E轮,数亿美元,未透露
92,2018/5/10,碧虎科技,B轮,数亿人民币,未透露
93,2018/5/10,校宝在线,C+轮,1亿人民币,蚂蚁金服(阿里巴巴)-歌斐资产-万融资本
94,2018/5/10,品志,Pre-A轮,数千万人民币,未透露
95,2018/5/10,万灵盘古,Pre-A轮,1500万人民币,金浦投资
96,2018/5/10,高仙机器人,A轮,数千万美元,蓝驰创投-七海资本
97,2018/5/10,星球食袋,天使轮,数百万人民币,未透露
98,2018/5/10,大道智创,A轮,数千万人民币,凯泰资本
99,2018/5/10,荷马金融,A+轮,3000万人民币,Venturous
100,2018/5/10,粉笔盒,天使轮,200万人民币,未透露
101,2018/5/10,友咖啡,Pre-A轮,3500万人民币,高榕资本-汉能投资
102,2018/5/10,妙手快按,天使轮,数百万人民币,老鹰基金
103,2018/5/10,迈博斯生物,B轮,4000万美元,红杉资本中国-礼来亚洲基金
104,2018/5/10,千屿Islands,A+轮,数千万人民币,昆仲资本
105,2018/5/10,兴工微电子,A轮,1000万人民币,一村资本
106,2018/5/10,蓝晶生物BluePHA,Pre-A轮,1000万人民币,力合科创（力合创投）-峰瑞资本
107,2018/5/10,云融金科,A轮,8000万人民币,未透露
108,2018/5/10,火花思维,B轮,1500万美元,IDG资本-金沙江创投-光速中国-山行资本
109,2018/5/10,良晓科技,战略投资,3000万人民币,风语筑
110,2018/5/10,巴乐兔,C轮,3亿人民币,DCM中国-天图资本-众为资本
111,2018/5/10,纯米科技,C轮,未透露,Star-VC-光控众盈新产业基金
112,2018/5/10,乐言科技,A+轮,未透露,云锋基金
113,2018/5/10,优客逸家,C轮,10亿人民币,经纬中国-君联资本-深创投-SIG海纳亚洲
114,2018/5/10,玩多多,B轮,1500万美元,IDG资本-金沙江创投-光速中国-山行资本
115,2018/5/10,KARADO,天使轮,1000万人民币,春晓资本
116,2018/5/10,千麦医学检验,B轮,数亿人民币,华泰紫金-华泰证券-康桥资本-汉富控股
117,2018/5/9,袋鼠麻麻,A轮,未透露,光速中国
118,2018/5/9,艾优云,战略投资,数千万人民币,未透露
119,2018/5/9,纸箱哥,A+轮,未透露,银江股份(银江资本)
120,2018/5/9,数字联盟,A+轮,2400万人民币,未透露
121,2018/5/9,Wegogo,Pre-A轮,600万人民币,未透露
122,2018/5/9,速迈医疗,C轮,未透露,中信资本
123,2018/5/9,相芯科技,A轮,1.2亿人民币,未透露
124,2018/5/9,力子机器人,Pre-A轮,数千万人民币,点亮资本
125,2018/5/9,睿科微电子,A轮,未透露,华登国际投资-华山资本WestSummit-Capital-正和岛正和磁系资本-中投中财基金-清控银杏创投-合肥高投-兆易创新
126,2018/5/9,基石药业,B轮,2.6亿美元,红杉资本中国-云锋基金-中信产业基金-高瓴资本-GIC新加坡政府投资公司-Arch-Venture-Partners-通和毓承-元禾原点创投-博裕资本-3W-Partners-泰康人寿
127,2018/5/9,橙光,C轮,数亿人民币,景林投资-国金投资-阿特列斯资本
128,2018/5/9,骑加,天使轮,400万人民币,和壹资本
129,2018/5/9,邦尔骨科,C轮,3亿人民币,启明创投
130,2018/5/9,一订有车,Pre-A轮,1500万人民币,银河系创投
131,2018/5/9,星球研究所,A轮,未透露,未透露
132,2018/5/9,晴天助,A轮,5000万人民币,乐创会
133,2018/5/9,瑞为技术,B+轮,未透露,英特尔投资Intel-Capital
134,2018/5/9,够近智慧社区,Pre-A轮,1000万人民币,未透露
135,2018/5/9,爱宠医生,战略投资,数千万人民币,未透露
136,2018/5/9,Alauda灵雀云,B+轮,未透露,英特尔投资Intel-Capital-明照资本
137,2018/5/9,行云全球汇,A轮,3亿人民币,金沙江创投-钟鼎创投
138,2018/5/9,微医,F轮-上市前,5亿美元,中投中财基金-友邦保险
139,2018/5/9,世纪康瑞,C轮,未透露,中信资本
140,2018/5/9,别样,B轮,2000万美元,KPCB凯鹏华盈中国-宽带资本CBC-高瓴资本-微光创投
141,2018/5/9,乐鑫科技,战略投资,未透露,英特尔投资Intel-Capital
142,2018/5/8,因淘优品,B轮,未透露,赛富基金
143,2018/5/8,华特装饰,新三板定增,2163万人民币,未透露
144,2018/5/8,科学指南针,天使轮,未透露,创业接力(创业基金会)-启迪之星（启迪孵化器）
145,2018/5/8,越博动力,IPO上市,未透露,未透露
146,2018/5/8,音智达,A轮,未透露,达晨创投-赛伯乐投资-歌斐资产
147,2018/5/8,工品汇,B+轮,2亿人民币,京东-雄牛资本-普华资本-云启资本-微光创投
148,2018/5/8,禧云国际,A轮,2亿美元,鼎晖投资-蚂蚁金服(阿里巴巴)-口碑网
149,2018/5/8,尚融生物,A轮,未透露,通和毓承
150,2018/5/8,作文纸条,天使轮,数百万美元,熊猫资本-微光创投-一号公路资本-正念资本
151,2018/5/8,汉狮影视,A轮,数千万人民币,华夏幸福(知合控股)
152,2018/5/8,好租网,C轮,数亿人民币,愉悦资本-国投创合
153,2018/5/8,CAM公链,A轮,3000万美元,中欧创投
154,2018/5/8,绿云,B轮,1.8亿人民币,同创伟业
155,2018/5/8,微念科技,B轮,未透露,新浪微博基金-辰海资本-芒果文创基金
156,2018/5/7,合富辉煌,战略投资,未透露,未透露
157,2018/5/7,Upstar,天使轮,1000万人民币,阿法仕资本-Alphashi
158,2018/5/7,星云Clustar,天使轮,数千万人民币,红杉资本中国
159,2018/5/7,浚惠生物,Pre-A轮,数千万人民币,安龙基金
160,2018/5/7,私家云,战略投资,数千万人民币,极豆资本
161,2018/5/7,汇实科技,战略投资,1005万人民币,未透露
162,2018/5/7,兔小二,A轮,数亿人民币,达晨创投-君上资本
163,2018/5/7,乐租,战略投资,数千万人民币,中关村在线
164,2018/5/7,思埠集团,B轮,5000万人民币,华创资本
165,2018/5/7,VSPN乐竞文化,战略投资,未透露,腾讯
166,2018/5/7,鲲游光电,A+轮,未透露,华登国际投资-元璟资本-中科创星
167,2018/5/7,EtherFly,战略投资,未透露,乐东资本
168,2018/5/7,黑湖科技,A+轮,5000万人民币,金沙江创投-贝塔斯曼亚洲投资基金
169,2018/5/7,Aibee,战略投资,数亿人民币,郑志刚
170,2018/5/7,上海慧程,B轮,数千万人民币,红点创投中国基金
171,2018/5/7,什马金融,C轮,3亿人民币,华创资本-信中利资本-汉能投资-铜板街-宜信财富
172,2018/5/7,立刻出行,B轮,数亿人民币,蓝驰创投-君联资本-险峰长青-蚂蚁金服(阿里巴巴)
173,2018/5/5,胜普电子,C轮,4570万人民币,未透露
174,2018/5/5,全球时刻,A+轮,未透露,中通快递
175,2018/5/5,Vechain唯链,战略投资,未透露,未透露
176,2018/5/5,中优精准医疗,战略投资,5.37亿人民币,鱼跃医疗
177,2018/5/5,珂信健康,C轮,2.4亿人民币,东方富海-华盖资本
178,2018/5/5,停简单,B+轮,未透露,蚂蚁金服(阿里巴巴)-阳光海天
179,2018/5/4,捷福装备,战略投资,2999万人民币,未透露
180,2018/5/4,味及,天使轮,未透露,未透露
181,2018/5/4,中云智车,种子轮,数百万人民币,英诺天使基金
182,2018/5/4,溢米辅导,B轮,1000万美元,蓝湖资本-德晖资本-精锐教育
183,2018/5/4,健世生物,A轮,数千万人民币,辰德资本
184,2018/5/4,全景旅游,战略投资,未透露,众信旅游
185,2018/5/4,封面新闻,Pre-A轮,数亿人民币,四川文化产业股权投资基金
186,2018/5/4,Kcash钱包,战略投资,数千万人民币,公信宝
187,2018/5/4,京东方,战略投资,14亿美元,康宁
188,2018/5/4,百炼智能,天使轮,1000万人民币,新美互通Kika-Tech-明略数据
189,2018/5/4,卓锐科技,B轮,数亿人民币,赛伯乐投资-财通资本
190,2018/5/4,平安好医生,IPO上市,11亿美元,未透露
191,2018/5/4,泰谷生物,战略投资,5000万人民币,天赋资本
192,2018/5/4,睿瀚医疗,Pre-A轮,2000万人民币,青锐创投-西安高新投-睿鼎资本
193,2018/5/4,天天学农,Pre-A轮,数千万人民币,经纬中国
194,2018/5/4,裂石影音,Pre-A轮,数千万人民币,未透露
195,2018/5/4,黄金管家,B+轮,数千万人民币,未透露
196,2018/5/4,只二网络,A+轮,数千万美元,华创资本-元璟资本-红点创投中国基金
197,2018/5/4,EDG,Pre-A轮,数千万人民币,中投中财基金-曜为资本
198,2018/5/3,果粒科技,Pre-A轮,5000万人民币,红杉资本中国-IDG资本
199,2018/5/3,互联星梦,B轮,未透露,未透露
200,2018/5/3,车主邦,A+轮,1.1亿人民币,朴素资本
201,2018/5/3,臻旅科技,天使轮,数百万人民币,信中利资本-基岩资本
202,2018/5/3,博雅立方CubeAD,C轮,500万美元,宽带资本CBC
203,2018/5/3,Bit.Game,战略投资,未透露,TrustNote-Foundation
204,2018/5/3,鲜漫动漫,A+轮,数千万人民币,哔哩哔哩bilibili
205,2018/5/3,哈哈零兽,A轮,数千万人民币,松禾资本-远望资本-易津资本
206,2018/5/3,衣当先,种子轮,数百万人民币,唯猎资本
207,2018/5/3,小码王,B轮,1.3亿人民币,钟鼎创投-涌铧投资-微光创投
208,2018/5/3,连心医疗,A轮,5000万人民币,线性资本-丹华资本
209,2018/5/3,sweetalk甜言蜜语,战略投资,未透露,科大讯飞
210,2018/5/3,茄子直卖,战略投资,未透露,杨浩涌
211,2018/5/3,优必选科技,C+轮,8.2亿美元,鼎晖投资-腾讯-松禾资本-民生银行(民银国际)-海尔-浙江创新投-宜信财富-中广核产业基金-工银国际-民生通海(民生证券)-居然之家
212,2018/5/3,禾赛科技,B轮,2.5亿人民币,光速中国-百度公司
213,2018/5/2,求臻医学,A轮,1亿人民币,弘晖资本-达泰资本-幂方资本
214,2018/5/2,世纪海航,A轮,数千万人民币,时龙资本-刘怀宇
215,2018/5/2,车行易,A轮,1000万美元,神州优车集团
216,2018/5/2,雷鸟科技,战略投资,3亿人民币,京东
217,2018/5/2,中国物流资产,战略投资,8.98亿港元,京东
218,2018/5/2,双界仪,天使轮,数千万人民币,游族网络
219,2018/5/2,彩贝壳,A轮,数千万美元,马蜂窝旅游网-高榕资本
220,2018/5/2,享物说,B轮,未透露,高瓴资本
221,2018/5/2,AR Monster,种子轮,数百万人民币,赤子基金
222,2018/5/2,傲势科技,A轮,未透露,磐霖资本
223,2018/5/2,文启优思,A轮,2000万人民币,戈壁创投-中金集团-优优老师
224,2018/5/2,创客星球,Pre-B轮,数千万人民币,启明创投
225,2018/5/2,森亿智能,B轮,1亿人民币,红杉资本中国-真格基金-GGV纪源资本
226,2018/5/2,裕兰信息科技,A轮,4000万人民币,协立投资
227,2018/5/1,派森诺,战略投资,数千万人民币,未透露
228,2018/4/30,衣乐仓,A轮,数千万人民币,北极光创投-GGV纪源资本-不惑创投
229,2018/4/30,睿问,天使轮,数千万人民币,优客工场
230,2018/4/30,神雾科技,战略投资,15亿人民币,金沙江资本
231,2018/4/28,派链PCHAIN,天使轮,数千万人民币,了得资本
232,2018/4/28,度小满金融,战略投资,19亿美元,凯雷亚洲基金-农银国际-TPG德太资本-泰康人寿
233,2018/4/28,精位科技,Pre-A轮,数千万人民币,大一资本
234,2018/4/28,场景鹿,A轮,数千万人民币,真格基金-SIG海纳亚洲
235,2018/4/28,编程侠,天使轮,100万人民币,未透露
236,2018/4/28,宝妈环球购,战略投资,数千万人民币,九宜城
237,2018/4/28,AKTE,天使轮,数千万人民币,庆芮资本
238,2018/4/28,BUMO,战略投资,数千万人民币,了得资本
239,2018/4/28,旅搜网,种子轮,200万人民币,未透露
240,2018/4/28,见福便利店,A轮,2.4亿人民币,红杉资本中国
241,2018/4/28,百家云,A+轮,6000万人民币,华图资本
242,2018/4/28,凯歌健康,A轮,数亿人民币,未透露
243,2018/4/28,唛嗖科技,天使轮,数百万人民币,未透露
244,2018/4/28,小V咖,天使轮,数百万美元,沸点资本
245,2018/4/27,德普电气,战略投资,2000万人民币,未透露
246,2018/4/27,天地数码,IPO上市,未透露,未透露
247,2018/4/27,天保人力,新三板,未透露,未透露
248,2018/4/27,钱香金融,A轮,数千万人民币,金沙江联合资本
249,2018/4/27,优地科技,B轮,数千万人民币,君联资本-元禾控股
250,2018/4/27,鸢安智能,Pre-A轮,数百万人民币,未透露
251,2018/4/27,驰展控股,A轮,数千万人民币,金沙江联合资本
252,2018/4/27,都市丽人,IPO上市后,4.12亿人民币,唯品会
253,2018/4/27,马上金融,C轮,6.34亿人民币,未透露
254,2018/4/27,TokenInsight未来通证,天使轮,数百万人民币,未透露
255,2018/4/27,蒸浏记,战略投资,1000万人民币,绝了基金
256,2018/4/27,大然科技,天使轮,500万人民币,道生资本-智能佳
257,2018/4/27,喵印,战略投资,未透露,优客工场
258,2018/4/27,车通云,C轮,5亿人民币,神州优车集团
259,2018/4/27,XSKY星辰天合,C轮,2.4亿人民币,北极光创投-启明创投-NEA恩颐投资-红点创投中国基金
260,2018/4/27,天工艺彩,A轮,数千万人民币,哔哩哔哩bilibili
261,2018/4/27,机呼,天使轮,数百万人民币,未透露
262,2018/4/27,信达生物,E轮,1.5亿美元,君联资本-Temasek淡马锡-高瓴资本-礼来亚洲基金
263,2018/4/27,TokenPocket,天使轮,数百万人民币,未透露
264,2018/4/27,VIPKID大米科技,战略投资,5亿美元,未透露
265,2018/4/27,七幕人生,B+轮,数千万人民币,五星汇-大麦网
266,2018/4/27,寰星电子,A轮,数千万人民币,暾澜投资-科地资本-朴素资本
267,2018/4/27,乐纯,战略投资,数亿人民币,IDG资本-真格基金-大河创投
268,2018/4/27,屋托邦,种子轮,100万人民币,多彩投
269,2018/4/27,V领地,A轮,2亿美元,华平投资
270,2018/4/27,Castbox,B轮,1350万美元,IDG资本-真格基金-启明创投-金沙江创投-SIG海纳亚洲
271,2018/4/27,蕾明视康,B轮,8000万人民币,启明创投-瑞健资本
272,2018/4/26,智泽华,A轮,未透露,青檬资本
273,2018/4/26,百变空间,A轮,5000万人民币,博将资本-东方尽美
274,2018/4/26,迈景基因,A轮,数千万人民币,深创投
275,2018/4/26,人人车,E轮,3亿美元,腾讯-高盛集团(中国)-滴滴出行
276,2018/4/26,量点科技,Pre-A轮,数千万人民币,中科创星
277,2018/4/26,七灵石,A轮,数千万人民币,丝芭传媒SNH48
278,2018/4/26,洪朴信息,Pre-A轮,数百万人民币,永洲创投
279,2018/4/25,智城互联,A轮,未透露,未透露
280,2018/4/25,坤音娱乐,Pre-A轮,数千万人民币,红杉资本中国-真格基金
281,2018/4/25,视佳科技,天使轮,600万人民币,维度资本(维度创业工场)-博将资本-温商创投
282,2018/4/25,BitFun,天使轮,100万美元,PETs-Chain宠物链
283,2018/4/25,智享工作,天使轮,数千万人民币,翊翎资本
284,2018/4/25,深兰科技,B轮,3亿人民币,绿地控股
285,2018/4/25,奇点汽车,C轮,30亿人民币,未透露
286,2018/4/25,喜茶HEYTEA,B轮,4亿人民币,龙珠资本(美团点评产业基金)
287,2018/4/25,唐牛网络,天使轮,数千万人民币,未透露
288,2018/4/25,凌科药业,天使轮,数千万美元,凯泰资本-幂方资本-国药资本
289,2018/4/25,擎创信息,A轮,数千万人民币,元璟资本-火山石资本-晨晖创投
290,2018/4/25,芳汀思,天使轮,数百万人民币,未透露
291,2018/4/25,万兔思睿,天使轮,数百万人民币,未透露
292,2018/4/25,夸客金融,战略投资,3亿人民币,未透露
293,2018/4/25,掌中医,A轮,1亿人民币,天亿投资
294,2018/4/25,Ventureum,天使轮,数百万人民币,未透露
295,2018/4/25,见微数据,Pre-A轮,数千万人民币,嘉程资本-百度风投
296,2018/4/24,萤火虫视频,B轮,未透露,腾讯
297,2018/4/24,兆方石油,战略投资,1140万人民币,未透露
298,2018/4/24,佰能蓝天,战略投资,4750万人民币,未透露
299,2018/4/24,宇清科技,战略投资,2100万人民币,未透露
300,2018/4/24,英诺尔,战略投资,490万人民币,未透露
301,2018/4/24,崧盛股份,战略投资,1052万人民币,未透露
302,2018/4/24,好看传媒,战略投资,3000万人民币,未透露
303,2018/4/24,星捷安,战略投资,2000万人民币,未透露
304,2018/4/24,东松医疗,新三板,未透露,未透露
305,2018/4/24,慧投互动,A轮,5000万人民币,未透露
306,2018/4/24,斯丹赛生物,B轮,1.8亿人民币,软银中国-深圳高特佳-火山石资本-智诚资本
307,2018/4/24,区块直聘,天使轮,数千万人民币,未透露
308,2018/4/24,幻维数码,A轮,6000万人民币,华映资本-安持资本
309,2018/4/24,创业邦,C轮,未透露,GGV纪源资本-普华资本-盛景网联(盛景嘉成)-星河互联
310,2018/4/24,福寿康,天使轮,未透露,华医资本
311,2018/4/24,运金所,A+轮,数千万人民币,未透露
312,2018/4/24,聚土网,B轮,数亿人民币,未透露
313,2018/4/24,心景科技,Pre-A轮,数千万人民币,岩木草投资
314,2018/4/24,Pro-Health,Pre-A轮,数千万人民币,峰瑞资本-连力创投
315,2018/4/24,满帮集团,F轮-上市前,19亿美元,红杉资本中国-金沙江创投-GGV纪源资本-光速中国-腾讯-软银中国-钟鼎创投-高瓴资本-Farallon-Capital法拉龙资本-CapitalG谷歌资本-Baillie-Gifford-全明星投资All-Stars-Investment-元生资本-农银国际-阳光保险-襄禾资本-国新科创基金（国新基金）-K11
316,2018/4/24,心知天气,A轮,数千万人民币,金沙江创投-成为资本
317,2018/4/24,绿天然,A轮,数千万人民币,IDG资本
318,2018/4/24,131便利店,天使轮,4000万人民币,春晓资本
319,2018/4/24,多乐小熊,战略投资,数千万人民币,新东方
320,2018/4/23,肆伍客,Pre-A轮,数百万人民币,九宜城
321,2018/4/23,小贝尔实验室,天使轮,400万人民币,JAIC日本亚洲投资
322,2018/4/23,爱品宣,天使轮,500万人民币,未透露
323,2018/4/23,链平方,Pre-A轮,数千万人民币,九鼎投资-高达投资
324,2018/4/23,工程师爸爸,B轮,3000万人民币,七海资本
325,2018/4/23,嘉宝仁和,战略投资,未透露,深圳高特佳
326,2018/4/23,耀世星辉,A轮,2.1亿人民币,中汇金
327,2018/4/23,壹米滴答,C轮,5亿人民币,厚朴基金-源码资本-普洛斯GLP-远洋资本
328,2018/4/23,云集微店,B轮,1.2亿美元,鼎晖投资-华兴新经济基金
329,2018/4/23,CompassX,天使轮,未透露,薛蛮子(蛮子基金)
330,2018/4/23,格微基因,A轮,1100万美元,红杉资本中国-药明康德
331,2018/4/23,长亮科技,IPO上市后,4亿人民币,腾讯
332,2018/4/23,物融金服,天使轮,800万人民币,笑脸金融理财
333,2018/4/23,标天下,天使轮,数百万人民币,睿鼎资本
334,2018/4/23,西部超算科技,战略投资,800万人民币,哈鲁资本
335,2018/4/23,智行者科技,B+轮,未透露,盈峰资本-广发信德
336,2018/4/23,鲸打卡,Pre-A轮,1000万人民币,创新工场-蓝象资本(未来工场)-兴旺投资
337,2018/4/23,立刻出行,A轮,未透露,君联资本-险峰长青
338,2018/4/22,易集小程序,天使轮,数百万人民币,帮实资本
339,2018/4/22,土流网,C轮,未透露,未透露
340,2018/4/22,美世教育,A轮,6000万人民币,涌铧投资-春晓资本
341,2018/4/21,图灵人工智能研究院,战略投资,数千万人民币,未透露
342,2018/4/21,CandyStar,A轮,数千万人民币,未透露
343,2018/4/21,Sing+,Pre-A轮,1500万人民币,未透露
344,2018/4/21,满心科技,Pre-A轮,未透露,鸿富锦精密工业
345,2018/4/20,中国珠宝,新三板,未透露,未透露
346,2018/4/20,币运动,天使轮,1500万人民币,未透露
347,2018/4/20,洛克公园,B+轮,7000万人民币,亚商资本
348,2018/4/20,优仕美地医疗,A+轮,数千万人民币,君联资本-Medtronic美敦力
349,2018/4/20,优速快递,B轮,未透露,未透露
350,2018/4/20,洛丁森,A轮,数千万人民币,GGV纪源资本
351,2018/4/20,微盟,D轮,10.09亿人民币,东方富海-天堂硅谷-渤海基金-优势资本-上海国和投资-辰韬资本-一村资本
352,2018/4/20,思迈特Smartbi,A轮,4000万人民币,方广资本
353,2018/4/20,权大师,A轮,5000万人民币,中广文影
354,2018/4/20,超赛体育,Pre-A轮,数千万人民币,山东红桥创投-城市传奇
355,2018/4/20,拜腾,B轮,2.6亿美元,一汽集团
356,2018/4/20,乐播足球,Pre-A轮,900万人民币,未透露
357,2018/4/20,浪菜,种子轮,未透露,创丰资本
358,2018/4/20,丹青映画,天使轮,数百万人民币,爱奇艺
359,2018/4/20,阿飞和巴弟,天使轮,300万人民币,如川基金
360,2018/4/20,英语小神童,Pre-A轮,数百万美元,蓝湖资本
361,2018/4/20,布洛克,A轮,数千万人民币,哈希资本Hash-Capital-李汉生-BeeChat
362,2018/4/20,先农氏,A轮,1亿人民币,彩生活-中顺易资本
363,2018/4/20,码高机器人,Pre-A轮,数千万人民币,高榕资本
364,2018/4/20,信析宝,C轮,5000万美元,歌斐资产-京东金融千树资本
365,2018/4/19,PadBot派宝机器人,A轮,未透露,英诺天使基金
366,2018/4/19,微车,C轮,数千万美元,未透露
367,2018/4/19,720云,Pre-A轮,1500万人民币,未透露
368,2018/4/19,威脉赢销,A轮,200万美元,愉悦资本
369,2018/4/19,APAX Recreation,A轮,1亿人民币,文投控股
370,2018/4/19,医学界,B轮,1.5亿人民币,亚东星辰
371,2018/4/19,吆喝科技,A+轮,数千万人民币,澳银资本
372,2018/4/19,沃方科技,天使轮,数千万人民币,创客总部-阿基米德医疗
373,2018/4/19,泊链联盟,Pre-A轮,2400万人民币,未透露
374,2018/4/19,奥浦迈,战略投资,数千万人民币,达晨创投
375,2018/4/19,瀚海基因,A轮,2.18亿人民币,同晟创投
376,2018/4/19,安诺柏德,A轮,数千万人民币,协立投资
377,2018/4/19,旭日旅行社,战略投资,未透露,寺库
378,2018/4/19,德坤供应链,A轮,数亿人民币,海尔
379,2018/4/19,Proton质子链,战略投资,未透露,了得资本
