,时间,公司名,轮次,金额,投资机构
0,2005-08-08,网易,B轮,875万美元,未透露
1,2005-08-05,百度,IPO上市,数亿美元,未透露
2,2005-08-04,爱尔创,天使轮,数百万人民币,博将资本
3,2005-08-04,盛科网络,天使轮,数百万人民币,中新创投
4,2005-08-01,合力模具,A轮,未透露,未透露
5,2005-08-01,阿里巴巴集团,D轮,10亿美元,雅虎
6,2005-08-01,易查搜索,A轮,数百万美元,KPCB凯鹏华盈中国
7,2005-08-01,上海新浩艺软件Hintsoft,A轮,数百万美元,IDG资本
8,2005-07-20,兆易创新,天使轮,数百万美元,IPV-Capital/盈富泰克-启迪之星（启迪孵化器）
9,2005-07-03,天涯社区,A轮,数百万美元,IDG资本-清科创投
10,2005-07-01,格尔软件,B轮,2亿人民币,未透露
11,2005-07-01,药明康德,A轮,200万美元,富达投资Fidelity-Investments-天地资本-大华创投管理
12,2005-07-01,智联招聘,C轮,770万美元,君联资本-智基创投IDT-VC
13,2005-07-01,V卡优惠,A轮,数百万美元,KPCB凯鹏华盈中国-德鼎创新基金(德丰杰龙脉)
14,2005-06-14,科大讯飞,D轮,1500万人民币,IPV-Capital/盈富泰克
15,2005-06-01,兆易创新,种子轮,5万美元,邓锋
16,2005-06-01,趣点视频,A轮,50万美元,软银中国
17,2005-06-01,晶方科技,A轮,数千万美元,元禾控股-英飞尼迪Infinity
18,2005-06-01,PPTV聚力传媒,天使轮,50万美元,软银中国
19,2005-05-11,聚众传媒,战略投资,未透露,晨兴资本
20,2005-05-08,威门药业,A轮,800万人民币,贵州科技风投
21,2005-04-30,欢聚时代,天使轮,100万美元,雷军-顺为创业
22,2005-04-19,青牛软件,A轮,3150万美元,赛富基金-华登国际投资-中科招商
23,2005-04-13,优格生物,B轮,未透露,未透露
24,2005-04-01,亿美软通,B轮,1000万美元,IDG资本
25,2005-03-22,铭万网,A轮,数百万美元,启明创投-赛富基金
26,2005-03-03,中搜网络,A轮,4000万美元,IDG资本-斯道资本(富达亚洲)-联想集团
27,2005-03-01,摇篮网,Pre-B轮,未透露,Sutter-Hill-Ventures
28,2005-01-25,诚邦园林,B轮,未透露,未透露
29,2005-01-12,图吧,A轮,数百万美元,美国中经合集团
30,2005-01-08,美年大健康,天使轮,未透露,凯辉基金-平安资产
31,2005-01-01,软通科技,A轮,未透露,英特尔投资Intel-Capital
32,2005-01-01,上海移通网络,A轮,数百万美元,未透露
33,2005-01-01,爱康国宾,A轮,数百万美元,美国中经合集团
34,2005-01-01,3G门户,A轮,200万美元,IDG资本
35,2005-01-01,5173游戏网,B轮,数千万美元,IDG资本-KTB投资集团-华登国际投资
36,2005-01-01,大麦网,A轮,3000万人民币,君联资本
37,2004-12-20,哈药集团,战略投资,2亿美元,中信资本-Warburg-Pincus(海外投资)
38,2004-12-11,珍爱网,A轮,450万美元,TPG-Growth新桥资本
39,2004-12-01,CDP薪得付,A轮,未透露,华禾投资
40,2004-12-01,艺龙旅行,IPO上市后,未透露,Expedia
41,2004-12-01,阿里巴巴集团,C轮,8200万美元,KPCB凯鹏华盈中国-GGV纪源资本-软银中国-斯道资本(富达亚洲)
42,2004-11-25,海润影视,A轮,数千万人民币,联创永宣
43,2004-11-12,久游网,A轮,1400万美元,凯雷亚洲基金-招商和腾创投
44,2004-11-07,爬行天下,天使轮,未透露,未透露
45,2004-10-28,艺龙旅行,IPO上市,未透露,未透露
46,2004-10-15,金融界,IPO上市,数千万美元,未透露
47,2004-10-10,慈铭体检,A轮,数千万人民币,鼎晖投资
48,2004-10-01,上海天游软件T2CN,天使轮,数百万人民币,联创永宣
49,2004-09-18,兆日科技,B轮,1000万美元,GGV纪源资本-英特尔投资Intel-Capital-华登国际投资-集富亚洲JAFCO
50,2004-09-01,久联发展,IPO上市,未透露,未透露
51,2004-08-09,达安基因,IPO上市,1.61亿人民币,未透露
52,2004-07-15,合富辉煌,IPO上市后,9100万美元,搜房网
53,2004-07-14,爱乐奇,A轮,1000万美元,未透露
54,2004-07-10,西安联合信息,A轮,数千万人民币,深创投
55,2004-07-01,A8音乐集团,A+轮,96万美元,IDG资本
56,2004-07-01,上海捷银支付,B轮,6500万港元,未透露
57,2004-06-16,Tencent 腾讯,IPO上市,数千万港元,未透露
58,2004-06-01,百度,B轮,1亿美元,IDG资本-KPCB凯鹏华盈中国-Google谷歌
59,2004-05-11,和而泰,D轮,673万人民币,达晨创投
60,2004-05-01,亿美软通,A轮,100万美元,IDG资本
61,2004-04-01,联众世界Ourgame,收购,1亿美元,未透露
62,2004-04-01,成都财智软件,收购,未透露,用友幸福投资
63,2004-03-10,优格生物,A轮,未透露,未透露
64,2004-03-03,携程,战略投资,数千万美元,今日资本
65,2004-03-01,100TV,A轮,500万美元,智基创投IDT-VC
66,2004-03-01,5173游戏网,A轮,300万美元,IDG资本
67,2004-02-02,新中大,A轮,数千万人民币,深创投
68,2004-02-01,当当网,B轮,1100万美元,Tiger老虎基金(中国)
69,2004-01-01,迈瑞生物,A+轮,未透露,深圳高特佳
70,2004-01-01,智联招聘,B轮,数百万美元,未透露
71,2003-12-14,金证股份,IPO上市,未透露,未透露
72,2003-12-10,携程,IPO上市,未透露,未透露
73,2003-12-01,兆日科技,A轮,300万美元,集富亚洲JAFCO
74,2003-10-20,天波信息,A轮,600万人民币,粤科金融
75,2003-09-02,匡通电子,A轮,数百万人民币,深创投
